greenhouse effect,physical hurting ,disease,adulteration
abuse,injuring,plague,contagion
corruption,crime,affliction,vitiation
deterioration,damage,bane,decay
infection,defilement,blot on the landscape,defilement
adulteration,harm,canker,dirtying
blight                     ,hurt,contamination,disease
decomposition,impairment,corruption,epidemic
defilement,injury,curse,filth
desecration,malevolence,decay,foulness
dirtying,maltreatment,dump,scourge
foulness,manhandling,evil,infection
impairment,misdeed,eyesore,sight
impurity,offense,fungus,plague
misuse,pollution,infestation,poisoning
profanation,violation,mildew,woe
rottenness,wrongdoing,pest,radioactivation
soiling,polluting,pestilence,besmearing
spoliation,tainting,pollution,withering
taint,besmirching,rot,fouling
uncleanness,debasement,rottenness,rot
foulness,wrong,putrescence,falsification
infection,cave-in,putrefaction,doctoring
noxiousness,distortion,pollution,contamination
ravage,hardship,accident,corruption
reverse,harm,outrage,debasement
ruin,hurt,adversity,depreciation
ruining,illness,affliction,deprivation
spoilage,impairment,bane,destruction
stroke,infliction,blemish,deterioration
suffering,knockout,blow,detriment
waste,marring,breakage,devastation
wound,mischief,bruise,disservice
wreckage,mishap,casualty,disturbance
wrecking,mutilation,catastrophe,evil
filthiness,griminess,grubbiness,impureness
impurity,unwholesomeness,uncleanness,uncleanliness
pollution,squalor,slander,defilement
turpitude,stain,slight,contamination
venality,stigma,slur,tarnish
dirty state,spot,environmental pollutant,
nuclear waste,pollution,atomic waste,dumping
poison,toxic waste,contaminated materials,industrial waste
